9 2477 9714
0 0 -0.480871 0.0506187
1 0 -0.574278 0.107021
0 1 -0.448988 0.174093
1 1 -0.567495 0.226458
0 2 -0.443291 0.056065
1 2 -0.571869 0.11831
0 3 -0.443243 0.0671023
1 3 -0.570776 0.128031
0 3 -0.442869 0.0666448
0 4 -0.439957 0.136142
1 4 0.0550038 0.157888
0 5 -0.428939 -0.0161153
1 5 -0.556359 0.0495861
0 6 -0.428575 0.202693
1 6 -0.53325 0.253564
0 7 -0.422035 0.137084
1 7 -0.544468 0.193366
0 8 -0.422035 0.137084
1 8 -0.544468 0.193366
0 9 -0.420744 0.0267718
1 9 -0.549286 0.0906092
0 10 -0.406626 -0.000782677
1 10 -0.534825 0.064578
0 11 -0.400884 0.103183
1 11 -0.527538 0.16291
0 12 -0.399548 0.0343519
1 12 -0.528074 0.0977825
0 13 -0.399505 0.145035
1 13 -0.520463 0.201115
0 14 -0.398263 0.115556
1 14 -0.521717 0.172485
0 15 -0.394991 0.162483
1 15 -0.515883 0.217127
0 16 -0.392974 0.153027
1 16 -0.513486 0.208043
0 17 -0.364863 -0.175439
1 17 -0.465271 -0.105212
0 18 -0.363818 -0.165727
1 18 -0.466172 -0.0958065
0 19 -0.361535 -0.112949
1 19 -0.464214 -0.0474247
0 20 -0.359542 -0.121031
1 20 -0.46199 -0.0550735
0 21 -0.358697 -0.228876
1 21 -0.464597 -0.156067
0 22 -0.355717 -0.147977
1 22 -0.4575 -0.0807488
0 23 -0.351219 -0.258443
1 23 -0.454991 -0.184089
0 24 -0.35101 -0.109817
1 24 -0.453181 -0.0447893
0 25 -0.349926 0.0821681
1 25 -0.449604 0.137021
0 26 -0.347975 -0.0844943
1 26 -0.449152 -0.0204374
0 27 -0.345256 -0.0997202
1 27 -0.447872 -0.0351494
0 28 -0.342068 -0.0814312
1 28 -0.443875 -0.0174943
0 29 -0.338625 -0.241589
1 29 -0.446257 -0.167604
0 30 -0.338625 -0.241589
1 30 -0.446257 -0.167604
0 31 -0.33853 -0.0862859
1 31 -0.440685 -0.0228007
0 32 -0.335714 -0.125857
1 32 -0.43965 -0.0595083
0 33 -0.335714 -0.125857
1 33 -0.43965 -0.0595083
0 34 -0.334688 -0.20415
1 34 -0.437284 -0.133446
0 35 -0.331568 -0.251353
1 35 -0.438521 -0.176399
0 36 -0.33033 -0.106161
1 36 -0.432043 -0.0422101
0 37 -0.329958 -0.0809292
1 37 -0.432808 -0.0172757
0 38 -0.329726 -0.0660792
1 38 -0.430376 -0.00335937
0 39 -0.328395 0.0861421
1 39 -0.430076 0.145583
0 40 -0.321737 -0.198407
1 40 -0.42761 -0.126487
0 41 -0.320445 -0.119843
1 41 -0.423647 -0.0538586
0 40 -0.320058 -0.19811
0 42 -0.317048 -0.102536
1 42 -0.42141 -0.0371111
0 43 -0.309541 0.0982306
1 43 -0.414755 0.155971
0 44 -0.309302 -0.21652
1 44 -0.416629 -0.14511
0 45 -0.308497 0.0812264
1 45 -0.412209 0.140534
0 46 -0.308377 -0.219538
1 46 -0.416079 -0.146996
0 47 -0.307835 -0.169081
1 47 -0.41319 -0.0993208
0 48 -0.307835 -0.169081
1 48 -0.41319 -0.0993208
0 49 -0.306558 -0.239523
1 49 -0.413742 -0.166048
0 50 -0.306451 -0.245537
1 50 -0.414048 -0.170581
0 51 -0.303483 -0.259485
1 51 -0.40773 -0.186349
0 52 -0.303072 0.0676113
1 52 -0.406367 0.125774
0 53 -0.303072 0.0676113
1 53 -0.406367 0.125774
0 54 -0.298129 -0.209549
1 54 -0.406833 -0.137065
0 55 -0.298129 -0.209549
1 55 -0.406833 -0.137065
0 56 -0.297841 -0.154428
1 56 -0.402339 -0.0865132
0 57 -0.296736 -0.161818
1 57 -0.40059 -0.0933949
0 58 -0.290894 -0.216723
1 58 -0.398283 -0.14477
0 59 -0.290894 -0.216723
1 59 -0.398283 -0.14477
0 60 -0.289555 -0.116642
1 60 -0.397438 -0.0498462
0 61 -0.288733 -0.250146
1 61 -0.394808 -0.176007
0 62 -0.283823 -0.224295
1 62 -0.391655 -0.151489
0 63 -0.283205 -0.258531
1 63 -0.38751 -0.185907
0 64 -0.279289 -0.244718
1 64 -0.386116 -0.17164
0 65 -0.279132 -0.229055
1 65 -0.386555 -0.155486
0 66 -0.277177 -0.233465
1 66 -0.383947 -0.160077
0 67 -0.277177 -0.233465
1 67 -0.383947 -0.160077
0 68 -0.275402 -0.180252
1 68 -0.383469 -0.109488
0 69 -0.271891 -0.214373
1 69 -0.380313 -0.141941
0 70 -0.270772 -0.232626
1 70 -0.377357 -0.159477
0 71 -0.269815 -0.247719
1 71 -0.37337 -0.175754
0 72 -0.268413 -0.241316
1 72 -0.373127 -0.167846
0 73 -0.263413 -0.107198
1 73 -0.374429 -0.0402075
0 74 -0.263151 -0.139399
1 74 -0.369006 -0.070761
0 75 -0.25888 -0.179523
1 75 -0.362494 -0.110804
0 76 -0.25888 -0.179523
1 76 -0.362494 -0.110804
0 77 -0.25888 -0.179523
1 77 -0.362494 -0.110804
0 78 -0.25111 -0.193156
1 78 -0.355004 -0.125304
0 79 -0.247579 -0.195144
1 79 -0.354757 -0.125477
0 80 -0.244913 0.0817738
1 80 -0.353895 0.14123
0 81 -0.238474 -0.0992067
1 81 -0.347038 -0.0344196
0 82 -0.237287 -0.0433003
1 82 -0.350615 0.0217278
0 83 -0.229103 -0.0537273
1 83 -0.344944 0.00973522
0 84 -0.206944 -0.11749
1 84 -0.322889 -0.0507
0 85 -0.202007 0.0919369
1 85 -0.310251 0.150921
0 86 -0.200155 -0.0901132
1 86 -0.318965 -0.0224165
0 87 -0.196434 0.0317424
1 87 -0.302624 0.0903313
0 88 -0.19556 -0.125934
1 88 -0.297962 -0.0601695
0 89 -0.185411 -0.0700972
1 89 -0.305982 -0.00276173
0 90 -0.185411 -0.0700972
1 90 -0.305982 -0.00276173
0 91 -0.181403 -0.0758918
1 91 -0.301742 -0.00872298
0 92 -0.176597 0.0841674
1 92 -0.284937 0.143553
0 93 -0.176526 -0.0813839
1 93 -0.296516 -0.0138268
0 94 -0.17265 -0.059975
1 94 -0.291297 0.00605944
0 95 -0.171445 -0.0730739
1 95 -0.29086 -0.0056631
0 96 -0.170606 -0.0655211
1 96 -0.289316 0.000918556
0 97 -0.149609 0.0572872
1 97 -0.250325 0.114457
0 98 -0.145526 -0.0277865
1 98 -0.248252 0.0335467
0 99 -0.137258 0.0936602
1 99 -0.244803 0.153775
0 100 -0.130501 -0.0805512
1 100 -0.25003 -0.0131766
0 101 -0.126711 0.0736865
1 101 -0.232335 0.13325
0 102 -0.126097 0.0676167
1 102 -0.231674 0.127434
0 103 -0.126097 0.0676167
1 103 -0.231674 0.127434
0 104 -0.120988 -0.0922821
1 104 -0.240132 -0.0245046
0 105 -0.120988 -0.0922821
1 105 -0.240132 -0.0245046
0 106 -0.118835 -0.0997798
1 106 -0.236984 -0.0314887
0 107 -0.113334 -0.0989912
1 107 -0.230669 -0.0310652
0 108 -0.11256 -0.246599
1 108 -0.215401 -0.174734
0 109 -0.108273 -0.264454
1 109 -0.21276 -0.189937
0 110 -0.106453 -0.253487
1 110 -0.212126 -0.180281
0 111 -0.106273 -0.17674
1 111 -0.210313 -0.107694
0 112 -0.106257 -0.241581
1 112 -0.211944 -0.169986
0 113 -0.0955037 -0.233442
1 113 -0.204473 -0.161075
0 114 -0.0955037 -0.233442
1 114 -0.204473 -0.161075
0 115 -0.0948762 -0.204412
1 115 -0.197771 -0.133416
0 116 -0.0946881 -0.0729977
1 116 -0.207702 -0.00813656
0 117 -0.0920928 -0.0803204
1 117 -0.206963 -0.0137143
0 118 -0.0920064 -0.0937424
1 118 -0.208074 -0.0272189
0 119 -0.0899842 -0.265709
1 119 -0.197248 -0.191933
0 120 -0.0873158 -0.200235
1 120 -0.190639 -0.130551
0 121 -0.0852341 -0.114667
1 121 -0.201338 -0.0478123
0 122 -0.084132 0.0629202
1 122 -0.191232 0.124087
0 123 -0.0837949 -0.144212
1 123 -0.194837 -0.0748358
0 124 -0.0833531 -0.278331
1 124 -0.190988 -0.203178
0 125 -0.0789911 -0.00381041
1 125 -0.183678 0.0588685
0 126 -0.0779785 -0.288439
1 126 -0.186145 -0.212668
0 127 -0.0757983 -0.195255
1 127 -0.181984 -0.125289
0 128 -0.0748298 -0.283609
1 128 -0.183583 -0.208138
0 129 -0.0748298 -0.283609
1 129 -0.183583 -0.208138
0 130 -0.0717964 0.0545327
1 130 -0.182141 0.116891
0 131 -0.0703904 0.0659447
1 131 -0.178209 0.126943
0 132 -0.0703904 0.0659447
1 132 -0.178209 0.126943
0 133 -0.0698616 -0.264557
1 133 -0.17954 -0.190338
0 134 -0.0659007 -0.149774
1 134 -0.178085 -0.0791489
0 134 -0.0659007 -0.149774
0 135 -0.0576464 -0.199581
1 135 -0.163424 -0.130188
0 136 -0.0560522 -0.276937
1 136 -0.165871 -0.201874
0 137 -0.0558201 -0.267856
1 137 -0.16564 -0.193706
0 138 -0.0507491 -0.195102
1 138 -0.158279 -0.124817
0 139 -0.0507491 -0.195102
1 139 -0.158279 -0.124817
0 140 -0.050224 -0.254777
1 140 -0.160312 -0.18091
0 141 -0.0479327 -0.264326
1 141 -0.15793 -0.190311
0 142 -0.0479327 -0.264326
1 142 -0.15793 -0.190311
0 143 -0.0417308 -0.19525
1 143 -0.149866 -0.125115
0 144 -0.0372638 -0.188834
1 144 -0.145167 -0.118975
0 145 -0.0368595 -0.234472
1 145 -0.146792 -0.162278
0 146 -0.0277917 -0.111106
1 146 -0.136164 -0.0455865
0 147 -0.0277917 -0.111106
1 147 -0.136164 -0.0455865
0 148 -0.0270963 -0.188911
1 148 -0.135151 -0.118668
0 149 -0.0238406 -0.201402
1 149 -0.132181 -0.130271
0 150 -0.0224911 -0.145086
