15 265 1683
0 0 -0.201291 -0.0911476
1 0 -0.185439 -0.0975455
0 1 -0.191282 -0.0580939
1 1 -0.176447 -0.0645455
0 2 -0.180929 -0.142116
1 2 -0.165816 -0.14838
0 3 -0.176275 -0.0741828
1 3 -0.16162 -0.0806719
0 4 -0.165527 -0.08515
1 4 -0.152835 -0.0914937
0 5 -0.165354 -0.172208
1 5 -0.15196 -0.176656
0 6 -0.159452 -0.0960383
1 6 -0.145836 -0.101977
0 7 -0.14417 -0.157418
1 7 -0.131648 -0.162735
0 8 -0.143588 0.0735278
1 8 -0.125527 0.0634225
0 9 -0.13366 0.018727
1 9 -0.120149 0.0129595
0 10 -0.132422 -0.14076
1 10 -0.106187 -0.153509
0 11 -0.129386 -0.0723935
1 11 -0.119798 -0.0790751
0 12 -0.113419 -0.0254372
1 12 -0.104244 -0.0292105
0 13 -0.110456 -0.0808069
1 13 -0.101526 -0.0858076
0 14 -0.109103 -0.00599314
1 14 -0.0995164 -0.0108343
0 15 -0.106147 0.00127673
1 15 -0.0980338 -0.00750261
0 16 -0.104867 -0.102755
1 16 -0.0939172 -0.108649
0 17 -0.101531 -0.200424
1 17 -0.0997815 -0.200428
0 18 -0.0994634 0.0674842
1 18 -0.0865473 0.0576351
0 19 -0.0886267 -0.16389
1 19 -0.0706062 -0.172165
0 20 -0.0840263 -0.0666216
1 20 -0.0794139 -0.0686963
0 21 -0.0818389 0.0629778
1 21 -0.0700989 0.0541603
0 22 -0.0766706 -0.0693555
1 22 -0.0699595 -0.0750051
0 23 -0.0750344 -0.072367
1 23 -0.068677 -0.0773453
0 24 -0.0725354 0.0466768
1 24 -0.0613837 0.0387726
0 25 -0.0638505 -0.171435
1 25 -0.0656469 -0.170957
0 26 -0.0521157 0.0720534
1 26 -0.0399664 0.0629251
0 27 -0.0521157 0.0720534
1 27 -0.0399664 0.0629251
0 28 -0.0376594 -0.194569
1 28 -0.0297064 -0.198223
0 29 -0.0327387 -0.182368
1 29 -0.0262007 -0.185895
0 30 -0.0279826 -0.187429
1 30 -0.0151164 -0.192015
0 30 -0.0279461 -0.187091
0 31 -0.0269511 -0.184036
1 31 -0.00347624 -0.192219
0 30 -0.0219898 -0.188377
0 32 -0.0197717 0.112864
1 32 -0.00929398 0.104212
0 33 -0.0162269 -0.190142
1 33 -0.00929157 -0.19386
0 34 -0.0139687 0.0703568
1 34 -0.00252301 0.0621618
0 35 -0.00960318 0.0939849
1 35 0.00150492 0.0854975
0 36 -0.00784374 0.097681
1 36 0.00337299 0.0893735
0 36 -0.00784374 0.097681
0 37 0.000856215 0.146367
1 37 0.0123756 0.137568
0 38 0.00197303 0.106814
1 38 0.0137221 0.0984954
0 39 0.00747561 0.133019
1 39 0.0193989 0.124205
0 39 0.00747561 0.133019
0 40 0.0103905 0.0816867
1 40 0.0229024 0.0737252
0 41 0.0103905 0.0816867
1 41 0.0229024 0.0737252
0 40 0.0104997 0.0819306
0 41 0.0104997 0.0819306
0 42 0.0109282 0.156884
1 42 0.023006 0.147928
0 43 0.0109282 0.156884
1 43 0.023006 0.147928
0 44 0.0142471 0.0912964
1 44 0.0271003 0.0836762
0 45 0.0158449 0.153998
1 45 0.0284836 0.144462
0 46 0.0303473 0.0878282
1 46 0.0441435 0.0806137
0 47 0.0452229 0.0622515
1 47 0.0601729 0.0545176
0 48 0.0454078 0.0942255
1 48 0.0630106 0.0856899
0 49 0.0636928 0.0269374
1 49 0.0637419 0.0189731
0 50 0.0751084 -0.0577866
1 50 0.0807056 -0.0630977
0 51 0.0854496 0.00258862
1 51 0.0893853 -0.00159911
0 52 0.0854496 0.00258862
1 52 0.0893853 -0.00159911
0 53 0.0854496 0.00258862
1 53 0.0893853 -0.00159911
0 54 0.0854496 0.00258862
1 54 0.0893853 -0.00159911
0 53 0.0854496 0.00258862
0 55 0.0878195 0.111993
1 55 0.112263 0.10579
0 56 0.0942837 0.00590216
1 56 0.0963977 0.00133752
0 57 0.0992356 -0.0131524
1 57 0.101118 -0.0169484
0 58 0.0999407 -0.0190322
1 58 0.105108 -0.0210795
0 59 0.100265 -0.0287221
1 59 0.103659 -0.0322771
0 60 0.111011 -0.0326782
1 60 0.117205 -0.0347872
0 60 0.111327 -0.0320043
0 61 0.194631 0.167963
1 61 0.219783 0.162345
0 62 0.194631 0.167963
1 62 0.219783 0.162345
0 63 0.203475 0.169048
1 63 0.228992 0.163658
0 64 0.205236 0.164603
1 64 0.230838 0.159271
0 65 0.20881 0.174149
1 65 0.0255909 0.124001
0 66 0.240081 0.189988
1 66 0.264889 0.185961
0 67 0.243204 0.182896
1 67 0.267773 0.178595
0 68 0.250205 0.180961
1 68 0.275597 0.177395
0 69 0.256064 0.173239
1 69 0.281888 0.169365
0 69 0.256305 0.174037
0 70 0.288124 0.173807
1 70 0.314608 0.17022
0 71 0.31006 0.197089
1 71 0.337047 0.195602
0 72 0.31006 0.197089
1 72 0.337047 0.195602
2 0 -0.178783 -0.103856
2 1 -0.168939 -0.0747395
2 2 -0.158952 -0.157127
2 3 -0.156295 -0.087671
0 73 -0.172101 -0.084041
2 73 -0.153116 -0.0968485
2 7 -0.128772 -0.167097
2 8 -0.121914 0.0538391
0 74 -0.138555 -0.087128
2 74 -0.13034 -0.0980225
2 11 -0.122966 -0.0829685
0 75 -0.127032 -0.0729152
2 75 -0.120674 -0.0835267
2 13 -0.108181 -0.0915884
2 17 -0.107051 -0.200359
2 19 -0.043154 -0.186543
0 76 -0.0873362 -0.0600068
2 76 -0.0863326 -0.0698406
2 21 -0.072002 0.0469595
0 76 -0.0817029 -0.0604588
0 76 -0.0798873 -0.0636312
0 77 -0.0765193 0.068793
2 77 -0.0665533 0.0514385
0 77 -0.0761073 0.0688453
2 24 -0.0645407 0.0329211
0 78 -0.0404366 0.122231
2 78 -0.0349259 0.104456
2 29 -0.0427843 -0.183713
0 79 -0.0211155 -0.185911
2 79 -0.0366561 -0.185903
2 32 -0.0129983 0.0971256
2 35 -0.00212943 0.0793653
0 80 -0.00960318 0.0939849
