14 4580 17700
0 0 -0.451165 -0.228669
1 0 -0.487087 -0.237406
0 0 -0.450522 -0.228984
0 1 -0.445986 -0.254717
1 1 -0.480766 -0.262061
0 2 -0.407514 -0.234425
1 2 -0.44499 -0.241722
0 3 -0.399565 -0.284908
1 3 -0.437892 -0.291294
0 4 -0.399565 -0.284908
1 4 -0.437892 -0.291294
0 5 -0.380756 -0.206955
1 5 -0.420835 -0.215023
0 6 -0.377567 -0.282077
1 6 -0.417306 -0.288057
0 7 -0.37721 -0.310732
1 7 -0.416601 -0.316639
0 8 -0.37171 -0.220315
1 8 -0.412471 -0.228049
0 9 -0.368557 -0.30899
1 9 -0.408022 -0.314277
0 10 -0.367055 -0.206054
1 10 -0.409129 -0.214632
0 11 -0.352242 -0.202095
1 11 -0.393382 -0.210578
0 12 -0.349263 -0.210644
1 12 -0.390925 -0.217846
0 13 -0.34685 -0.300066
1 13 -0.388137 -0.305465
0 14 -0.344209 -0.204831
1 14 -0.386083 -0.212598
0 15 -0.342395 -0.212801
1 15 -0.384293 -0.220166
0 16 -0.34234 0.159098
1 16 -0.382093 0.153007
0 17 -0.33903 -0.288449
1 17 -0.382121 -0.29339
0 18 -0.337669 -0.297258
1 18 -0.379734 -0.303139
0 19 -0.330677 0.122927
1 19 -0.368783 0.111966
0 20 -0.329234 -0.294428
1 20 -0.371268 -0.29925
0 21 -0.324777 0.158934
1 21 -0.359761 0.152834
0 22 -0.318336 0.0597744
1 22 -0.362282 0.0483471
0 23 -0.314324 0.141632
1 23 -0.353031 0.132509
0 24 -0.309451 0.242908
1 24 -0.362752 0.23303
0 25 -0.307367 -0.284804
1 25 -0.35117 -0.289965
0 26 -0.301638 -0.223738
1 26 -0.342996 -0.22968
0 27 -0.297964 0.13069
1 27 -0.336242 0.123781
0 28 -0.290617 -0.0429342
1 28 -0.335523 -0.0513306
0 29 -0.290525 0.285966
1 29 -0.352366 0.271299
0 30 -0.289364 0.255239
1 30 -0.347565 0.241275
0 31 -0.287636 0.118566
1 31 -0.323663 0.109648
0 32 -0.286533 0.260847
1 32 -0.346043 0.246708
0 33 -0.284761 0.27367
1 33 -0.347172 0.259665
0 34 -0.277494 0.254877
1 34 -0.336107 0.241325
0 35 -0.277464 -0.029833
1 35 -0.32369 -0.0380261
0 36 -0.275385 0.278161
1 36 -0.337628 0.265252
0 37 -0.275155 0.261781
1 37 -0.335249 0.248695
0 38 -0.271384 -0.0429115
1 38 -0.319483 -0.0515665
0 39 -0.271384 -0.0429115
1 39 -0.319483 -0.0515665
0 40 -0.26979 0.221054
1 40 -0.326725 0.209156
0 41 -0.267806 0.053337
1 41 -0.313116 0.0439456
0 42 -0.267806 0.053337
1 42 -0.313116 0.0439456
0 43 -0.261636 0.241915
1 43 -0.316936 0.234642
0 44 -0.261338 0.206986
1 44 -0.318995 0.195333
0 45 -0.254011 -0.0353788
1 45 -0.300413 -0.0428755
0 46 -0.254011 -0.0353788
1 46 -0.300413 -0.0428755
0 47 -0.25398 0.204514
1 47 -0.31159 0.193258
0 48 -0.25398 0.204514
1 48 -0.31159 0.193258
0 49 -0.253657 -0.17654
1 49 -0.29773 -0.181908
0 50 -0.252191 -0.181899
1 50 -0.296536 -0.1875
0 51 -0.251782 -0.0263444
1 51 -0.297671 -0.033543
0 52 -0.250686 -0.188564
1 52 -0.295055 -0.193735
0 53 -0.247617 0.205572
1 53 -0.305619 0.194731
0 54 -0.246048 -0.173561
1 54 -0.291221 -0.179599
0 55 -0.245411 -0.180191
1 55 -0.29007 -0.185517
0 56 -0.244626 -0.237868
1 56 -0.292197 -0.242159
0 57 -0.243311 0.180803
1 57 -0.299603 0.170701
0 58 -0.241223 -0.0156591
1 58 -0.288788 -0.0231839
0 59 -0.240715 -0.15804
1 59 -0.285734 -0.163703
0 47 -0.240192 0.200617
0 60 -0.239632 -0.178412
1 60 -0.284443 -0.183394
0 61 -0.239632 -0.178412
1 61 -0.284443 -0.183394
0 62 -0.238161 -0.184765
1 62 -0.282648 -0.189696
0 63 -0.237509 0.207538
1 63 -0.294195 0.198258
0 64 -0.23739 -0.0360959
1 64 -0.284229 -0.042836
0 65 -0.232083 -0.170741
1 65 -0.277559 -0.175724
0 66 -0.228145 -0.224495
1 66 -0.278504 -0.229425
0 67 -0.227974 0.198618
1 67 -0.286246 0.189115
0 68 -0.226776 -0.196692
1 68 -0.278189 -0.201844
0 69 -0.221625 0.197285
1 69 -0.279763 0.188198
0 70 -0.216915 0.181482
1 70 -0.275057 0.17254
0 71 -0.216915 0.181482
1 71 -0.275057 0.17254
0 72 -0.215128 0.198801
1 72 -0.273411 0.189788
0 73 -0.208581 0.190848
1 73 -0.266633 0.181943
0 74 -0.208581 0.190848
1 74 -0.266633 0.181943
0 75 -0.20545 0.195584
1 75 -0.263797 0.187211
0 76 -0.203636 0.22324
1 76 -0.260848 0.214134
0 77 -0.201782 0.185166
1 77 -0.259935 0.176994
0 78 -0.199652 0.192134
1 78 -0.258313 0.18375
0 79 -0.195998 -0.165802
1 79 -0.241668 -0.169641
0 80 -0.191945 -0.0169237
1 80 -0.243441 -0.0218096
0 81 -0.189713 0.182179
1 81 -0.248217 0.174497
0 82 -0.187747 0.230087
1 82 -0.244649 0.222448
0 83 -0.187473 0.188505
1 83 -0.246097 0.181102
0 84 -0.187424 -0.00244194
1 84 -0.235345 -0.00798965
0 85 -0.185485 0.184435
1 85 -0.243886 0.176702
0 86 -0.185485 0.184435
1 86 -0.243886 0.176702
0 87 -0.180903 0.188592
1 87 -0.23969 0.181391
0 88 -0.180015 0.226083
1 88 -0.236098 0.218553
0 89 -0.17947 0.183495
1 89 -0.238422 0.176701
0 89 -0.17947 0.183495
0 90 -0.178428 0.179195
1 90 -0.237021 0.171985
0 91 -0.178412 -0.00432812
1 91 -0.224489 -0.00943574
0 92 -0.175957 0.0031143
1 92 -0.224123 -0.00178281
0 93 -0.175495 0.184804
1 93 -0.234192 0.178225
0 94 -0.175343 0.138758
1 94 -0.212006 0.135618
0 95 -0.170588 -0.160191
1 95 0.356405 -0.264426
0 96 -0.168422 0.178113
1 96 -0.227 0.172084
0 97 -0.163572 -0.220785
1 97 -0.204275 -0.222375
0 98 -0.159517 -0.00517487
1 98 -0.207856 -0.00757821
0 99 -0.150974 0.00537302
1 99 -0.199355 0.000953391
0 100 -0.149284 -0.154508
1 100 -0.195673 -0.156594
0 101 -0.149187 0.0934759
1 101 -0.197597 0.0873193
0 102 -0.149055 -0.137603
1 102 -0.192937 -0.138252
0 103 -0.148864 -0.00125153
1 103 -0.196563 -0.00582466
0 104 -0.147398 0.0105902
1 104 -0.195179 0.00654177
0 105 -0.147378 -0.190894
1 105 -0.194074 -0.192685
0 106 -0.146264 -0.142116
1 106 -0.192217 -0.145067
0 107 -0.144956 -0.151816
1 107 -0.190706 -0.154313
0 108 -0.141843 -0.23673
1 108 -0.180876 -0.238017
0 109 -0.141843 -0.23673
1 109 -0.180876 -0.238017
0 110 -0.138346 0.0197519
1 110 -0.18732 0.016183
0 111 -0.136937 0.00930246
1 111 -0.185237 0.00552695
0 112 -0.1367 0.151122
1 112 -0.193446 0.146473
0 113 -0.13581 -0.13096
1 113 -0.178296 -0.134546
0 113 -0.134754 -0.131176
0 114 -0.131014 0.0563499
1 114 -0.165489 0.0539544
0 115 -0.130987 -0.132882
1 115 -0.177384 -0.13503
0 116 -0.128055 -0.146342
1 116 -0.173943 -0.148484
0 117 -0.125987 -0.131791
1 117 -0.17118 -0.133949
0 118 -0.123968 -0.216436
1 118 -0.156167 -0.219284
0 119 -0.122326 -0.128895
1 119 -0.167727 -0.130471
0 118 -0.12066 -0.217291
0 120 -0.117729 0.215801
1 120 -0.175464 0.211443
0 121 -0.117723 -0.129721
1 121 -0.16317 -0.131542
0 122 -0.115057 0.105669
1 122 -0.170563 0.102702
0 123 -0.110394 0.110525
1 123 -0.166929 0.107373
0 124 -0.108141 0.128262
1 124 -0.165216 0.124863
0 125 -0.107535 0.103619
1 125 -0.163482 0.101247
0 126 -0.104502 0.172198
1 126 -0.162455 0.169164
0 127 -0.103836 0.0783092
1 127 -0.15125 0.0775463
0 128 -0.103653 0.273078
1 128 -0.155656 0.271446
0 129 -0.103149 0.00888325
1 129 -0.149922 0.00611803
0 130 -0.0960655 -0.0187396
1 130 -0.145319 -0.0216624
0 131 -0.0953025 -0.144144
1 131 -0.141457 -0.146048
0 132 -0.0937635 -0.149226
1 132 -0.140011 -0.15029
0 133 -0.0922924 -0.122254
1 133 -0.127896 -0.120858
0 134 -0.0922924 -0.122254
1 134 -0.127896 -0.120858
0 135 -0.0904141 -0.13874
1 135 -0.126799 -0.137489
0 136 -0.0870707 -0.121474
1 136 -0.122944 -0.119501
0 137 -0.0870707 -0.121474
1 137 -0.122944 -0.119501
0 138 -0.0842107 -0.158269
1 138 -0.124217 -0.157552
0 139 -0.0842107 -0.158269
1 139 -0.124217 -0.157552
0 140 -0.0827657 0.0261322
1 140 -0.126498 0.0248413
0 141 -0.0773589 0.0960794
1 141 -0.132342 0.0947485
0 142 -0.0772898 0.0901535
1 142 -0.126718 0.0884525
0 143 -0.0754117 0.0569852
1 143 -0.124031 0.0555024
0 144 -0.0754117 0.0569852
1 144 -0.124031 0.0555024
0 145 -0.0730835 -0.0251497
1 145 -0.110616 -0.02534
0 146 -0.0706974 0.104748
1 146 -0.127528 0.102717
0 147 -0.0695226 -0.135731
1 147 -0.115835 -0.136213
0 148 -0.0680956 0.0586053
1 148 -0.116828 0.0575166
0 149 -0.0658141 0.0807435
1 149 -0.11542 0.0800123
0 150 -0.0655465 0.0985217
1 150 -0.120383 0.0973489
0 151 -0.0654806 0.114083
1 151 -0.118801 0.111666
0 152 -0.0618402 0.106067
1 152 -0.12002 0.105121
0 153 -0.0616492 0.0747343
1 153 -0.109574 0.0737117
0 154 -0.0558876 0.126391
1 154 -0.114409 0.12561
0 155 -0.0509137 -0.102831
1 155 -0.0906891 -0.104144
0 156 -0.0502482 -0.12969
1 156 -0.0961737 -0.130298
0 157 -0.0470861 0.12101
1 157 -0.105272 0.121033
0 158 -0.0470861 0.12101
1 158 -0.105272 0.121033
0 159 -0.0469453 -0.124664
1 159 -0.0937314 -0.12418
0 160 -0.0466882 0.0964213
1 160 -0.100776 0.0969914
0 161 -0.0432761 -0.138083
1 161 -0.0860119 -0.137064
0 162 -0.0428971 0.113532
1 162 -0.100877 0.113856
0 163 -0.0424124 -0.0458558
1 163 -0.0836933 -0.0455375
0 164 -0.0396856 0.176774
1 164 -0.100385 0.176467
0 165 -0.0361972 0.206364
1 165 -0.0999069 0.206573
0 166 -0.0361972 0.206364
1 166 -0.0999069 0.206573
0 167 -0.0360913 -0.0663774
1 167 -0.0792662 -0.0671314
0 168 -0.0357926 -0.099743
1 168 -0.0768048 -0.101295
0 169 -0.0330314 -0.11967
1 169 -0.0791166 -0.119526
0 170 -0.0323026 -0.133793
1 170 -0.0770463 -0.132941
0 171 -0.0306026 0.202597
1 171 -0.0933224 0.203035
0 172 -0.0303564 -0.0561678
1 172 -0.071699 -0.055458
0 173 -0.0283095 0.187622
1 173 -0.0915163 0.188235
0 174 -0.0260806 0.177846
1 174 -0.0882075 0.177769
0 175 -0.0257499 -0.0532651
1 175 -0.0683731 -0.0512178
0 176 -0.0257193 -0.119844
1 176 -0.0711645 -0.120194
0 177 -0.025552 -0.0640035
1 177 -0.0667486 -0.0629175
0 178 -0.0250826 -0.113376
1 178 -0.0714659 -0.113141
0 179 -0.0244954 -0.0429124
1 179 -0.0672204 -0.0409586
0 180 -0.023462 0.0471328
1 180 -0.0555842 0.048287
0 181 -0.0232006 0.196927
1 181 -0.0865535 0.197656
0 182 -0.0216351 -0.0611529
1 182 -0.0635342 -0.0595234
0 183 -0.0183263 0.167427
1 183 -0.0760337 0.168601
0 184 -0.0169896 0.0768166
1 184 -0.0659865 0.0803317
0 185 -0.014903 -0.0313592
1 185 -0.0564249 -0.0304075
0 186 -0.0141185 -0.133549
1 186 -0.059927 -0.132022
0 187 -0.0126421 -0.152922
1 187 -0.0539975 -0.1507
0 188 -0.0117846 0.0819253
1 188 -0.0507309 0.0834708
0 189 -0.0102552 0.0438909
1 189 -0.0420791 0.0454925
0 190 -0.00961861 0.186371
1 190 -0.0696569 0.18813
0 191 -0.00611408 0.0287432
1 191 -0.0391645 0.030233
0 192 -0.00535303 -0.138801
1 192 -0.051502 -0.137425
0 193 -0.00431974 0.0180189
1 193 -0.112941 0.0222767
0 194 -0.000967125 0.0230484
1 194 -0.0318738 0.0254168
0 195 0.000208152 0.0147569
1 195 -0.0337159 0.0164402
0 196 0.000752206 -0.136732
1 196 0.32351 -0.174701
0 197 0.00286882 0.155474
1 197 -0.0547171 0.157531
0 198 0.00287423 0.1134
1 198 -0.0528373 0.115379
0 199 0.00584983 0.204599
1 199 -0.0510795 0.204896
0 200 0.00695835 -0.0923765
1 200 -0.041669 -0.0898805
0 201 0.00838865 0.0425869
1 201 -0.025079 0.0437815
0 202 0.0123853 -0.0834763
1 202 -0.0344777 -0.0811807
0 203 0.0134569 0.15812
1 203 -0.0438017 0.160361
0 204 0.0155281 0.166305
1 204 -0.0431041 0.167741
0 205 0.0164276 -0.0548869
1 205 -0.0331783 -0.0527847
0 206 0.0175242 0.179198
1 206 -0.0448433 0.18347
0 207 0.0197285 0.163165
1 207 -0.0387147 0.164352
0 208 0.022618 -0.0889494
1 208 -0.0239515 -0.0861799
