14 3099 16504
0 0 -0.0821721 -0.16683
1 0 -0.111954 -0.191591
0 1 -0.0759534 -0.166547
1 1 -0.106785 -0.190661
0 2 -0.0718903 0.05522
1 2 0.346877 0.0310022
0 3 -0.0701331 -0.0717256
1 3 -0.102127 -0.0998447
0 4 -0.0654314 0.0199265
1 4 -0.0960523 -0.0115798
0 5 -0.0637248 0.0267993
1 5 -0.0944573 -0.00458673
0 6 -0.0552451 -0.15897
1 6 -0.0881157 -0.182287
0 7 -0.0529187 0.166206
1 7 -0.0816461 0.131808
0 8 -0.0437826 -0.146612
1 8 -0.0765001 -0.169334
0 9 -0.0434859 0.166236
1 9 -0.0718403 0.13291
0 10 -0.0434859 0.166236
1 10 -0.0718403 0.13291
0 11 -0.0429956 -0.154844
1 11 -0.0760363 -0.177968
0 12 -0.038066 0.160619
1 12 -0.0664888 0.127711
0 13 -0.0362315 0.0802793
1 13 -0.0660188 0.0495108
0 14 -0.0354795 0.0569936
1 14 -0.0653469 0.0266626
0 15 -0.0351428 0.154567
1 15 -0.06353 0.122306
0 16 -0.0348004 0.0152766
1 16 -0.0662514 -0.0138754
0 17 -0.0347855 0.00521503
1 17 -0.0656572 -0.0232014
0 18 -0.034046 -0.0287875
1 18 -0.0655089 -0.0563513
0 19 -0.0315021 -0.151278
1 19 -0.064226 -0.174047
0 20 -0.0311405 0.0593549
1 20 -0.0612209 0.0294877
0 21 -0.0306002 0.0740629
1 21 -0.0606058 0.044499
0 22 -0.0305101 0.168662
1 22 -0.0380322 0.128366
0 23 -0.029927 0.115677
1 23 -0.0590361 0.084828
0 24 -0.029927 0.115677
1 24 -0.0590361 0.084828
0 25 -0.029329 0.162308
1 25 -0.0577347 0.130528
0 26 -0.0280826 -0.144945
1 26 -0.0612462 -0.167665
0 10 -0.0265355 0.157053
0 27 -0.0264628 0.087967
1 27 -0.0560943 0.0578074
0 28 -0.0258375 0.0655876
1 28 -0.0560528 0.0368372
0 29 -0.0249744 0.0817489
1 29 -0.0547501 0.0522252
0 29 -0.0249744 0.0817489
0 30 -0.0208953 -0.15055
1 30 -0.0542636 -0.172942
0 31 -0.0197473 0.152361
1 31 -0.0480348 0.121849
0 32 -0.0189662 0.0279319
1 32 -0.0497713 0.000475461
0 33 -0.0171423 0.00901866
1 33 -0.0484557 -0.0179578
0 34 -0.0171096 -0.0057793
1 34 -0.0482845 -0.0323583
0 35 -0.0171096 -0.0057793
1 35 -0.0482845 -0.0323583
0 36 -0.0148538 -0.0452924
1 36 -0.0463757 -0.0697689
0 37 -0.0140847 0.0448515
1 37 -0.0444798 0.0172948
0 38 -0.0100303 -0.0237692
1 38 -0.0418778 -0.0495832
0 39 -0.00996454 -0.0860966
1 39 -0.0420481 -0.109926
0 40 -0.00981236 -0.104194
1 40 -0.0421044 -0.127651
0 41 -0.00868168 -0.147092
1 41 -0.0413759 -0.1688
0 42 -0.00673093 0.151086
1 42 -0.0152229 0.114574
0 43 -0.00633658 -0.0086449
1 43 -0.0370926 -0.033937
0 44 -0.00612345 0.157653
1 44 -0.0145136 0.121751
0 45 -0.00249324 0.177361
1 45 -0.0105156 0.138934
0 46 -0.00222281 -0.274223
1 46 -0.00594164 -0.236106
0 47 -0.00220263 0.0325237
1 47 -0.0324145 0.00603947
0 48 -0.000222064 0.15592
1 48 -0.00786008 0.12012
0 49 0.000516195 -0.145973
1 49 -0.0319207 -0.167096
0 50 0.0019096 -0.0129357
1 50 -0.02901 -0.0378078
0 51 0.00214088 -0.246205
1 51 -5.45276e-05 -0.210281
